SUPERSTAR,ALIGNMENT,BRAND,SEX,ROLE,TRAIT1,TRAIT2,MANAGER,TAGTEAM,FACTION,CHAMPIONSHIP,ACCOLADES,WINS,LOSSES,DRAWS,RANK
Dakota Kai,Heel,Red,F,UpperMidCard,,,,,Damage CTRL,,,,,,
Christian Cage,Heel,Red,M,MidCard,Dirty,,,,,,,,,,
Damian Priest,Heel,Blue,M,MidCard,,,,,Judgment Day,,,,,,
Dana Brooke,,Inactive,F,Lower Card,,,,,,,,,,,
Dexter Lumis,,Blue,M,MidCard,,,,,,,,,,,
Diesel,,Retired,M,,,,,,,,,,,,
Doink the Clown,,Retired,M,,,,,,,,,,,,
Dolph Ziggler,,Inactive,M,,,,,,,,,,,,
Dominik Mysterio,Heel,Red,M,MidCard,,,,,Judgment Day,,,,,,
Doudrop,Face,Red,F,MidCard,,,,,,,,,,,
Drew Gulak,,Inactive,M,,,,,,,,,,,,
Drew McIntyre,Face,Red,M,MainEvent,Hoss,,,,,,,,,,
Eddie Guerrero,,Retired,M,,,,,,,,,,,,
Edge,Face,Red,M,Legend,Veteran,,,,,,,,,,
Elias,Face,Red,M,MidCard,Gimmick,,,,,,,,,,
Eric Bischoff,,Inactive,M,,,,,,,,,,,,
Erik,Face,Red,M,MidCard,,,,The Viking Raiders,,,,,,,
Ezekiel,,Inactive,M,,,,,,,,,,,,
Faarooq,,Retired,M,,,,,,,,,,,,
Finn Bálor,Heel,Blue,M,UpperMidCard,,,,,Judgment Day,,,,,,
Gigi Dolin,Face,Red,F,MidCard,,,,,Toxic Attraction,,,,,,
Giovanni Vinci,,Inactive,M,,,,,,,,,,,,
Goldberg,,Retired,M,,,,,,,,,,,,
Grayson Waller,,Inactive,M,,,,,,,,,,,,
GUNTHER,Heel,Red,M,UpperMidCard,Technician,Hoss,,,Imperium,,,,,,
Happy Corbin,,Inactive,M,,,,,,,,,,,,
Hollywood Hogan,,Retired,M,,,,,,,,,,,,
Hulk Hogan,,Retired,M,,,,,,,,,,,,
Humberto,,Inactive,M,,,,,,,,,,,,
The Hurricane,Face,Blue,M,Jobber,Gimmick,,,,,,,,,,
Ilja Dragunov,,Inactive,M,,,,,,,,,,,,
Indi Hartwell,Heel,Blue,F,MidCard,,,,,,,,,,,
IYO SKY,Heel,Red,F,MainEvent,,,,,Damage CTRL,,,,,,
Ivar,Face,Red,M,MidCard,,,,The Viking Raiders,,,,,,,
Jacy Jayne,Heel,Red,F,MidCard,,,,,Toxic Attraction,,,,,,
Jake “The Snake” Roberts,Face,,M,,Manipulative,,,,,,,,,,
JD McDonagh,,Inactive,M,,,,,,,,,,,,
"Jerry ""The King"" Lawler",,Retired,M,,,,,,,,,,,,
Jey Uso,Heel,Red,M,MainEvent,,,,The Usos,The Bloodline,,,,,,
"Jim ""The Anvil"" Neidhart",,Retired,M,,,,,,,,,,,,
Jimmy Uso,Heel,Red,M,MainEvent,,,,The Usos,The Bloodline,,,,,,
Jinder Mahal,Heel,Blue,M,MidCard,,,,,,,,,,,
Joaquin Wilde,,Inactive,M,,,,,,,,,,,,
JBL,,Retired,M,,,,,,,,,,,,
John Cena,,Inactive,M,,,,,,,,,,,,
Johnny Gargano,,Inactive,M,,,,,,,,,,,,
Julius Creed,,Inactive,M,,,,,,,,,,,,
Kane,,Retired,M,,,,,,,,,,,,
Karrion Kross,Heel,Red,M,MidCard,,,,,,,,,,,
Katana Chance,Face,Blue,F,Jobber,,,,,,,,,,,
Kayden Carter,Face,Blue,F,Jobber,,,,,,,,,,,
Kevin Nash,,Retired,M,,,,,,,,,,,,
Kevin Owens,Face,Red,M,MainEvent,,,,,,,,,,,
Kofi Kingston,Face,Red,M,MidCard,Comedy,,,The New Day,The New Day,,,,,,
Kurt Angle,,Retired,M,,,,,,,,,,,,
LA Knight,Face,Blue,M,Jobber,,,,,,,,,,,
Lacey Evans,Heel,Inactive,F,Lower Card,,,,,,,,,,,
Liv Morgan,Face,Red,F,MainEvent,,,,,,,,,,,
Lita,,Retired,F,,,,,,,,,,,,
Logan Paul,,Inactive,M,,,,,,,,,,,,
Ludwig Kaiser,,Inactive,M,,,,,Imperium,,,,,,,
MA.CE,Face,Blue,M,Jobber,Comedy,,,Maximum Male Models,,,,,,,
“Macho Man” Randy Savage,,Retired,M,,,,,,,,,,,,
Madcap Moss,,Inactive,M,,,,,,,,,,,,
MAN.SOOR,Face,Blue,M,Jobber,Comedy,,,Maximum Male Models,,,,,,,
Matt Riddle,,Inactive,M,,,,,,,,,,,,
Maryse,,Retired,F,Manager,,,,,,,,,,,
Molly Holly,Face,,F,Manager,,,,,,,,,,,
Montez Ford,Face,Blue,M,MidCard,,,,Street Profits,,,,,,,
Mr. McMahon,Heel,,M,Manager,,,,,,,,,,,
Mustafa Ali,Face,Red,M,MidCard,,,,,,,,,,,
MVP,Heel,,M,Manager,,,,,,,,,,,
Natalya,,Inactive,F,,,,,,,,,,,,
Nikki Cross,Face,Red,F,MidCard,,,,,,,,,,,
Nikki Bella,Heel,Red,F,MidCard,,,,,,,,,,,
Nikkita Lyons,,Inactive,F,,,,,,,,,,,,
Noam Dar,,Inactive,M,,,,,,,,,,,,
Omos,Heel,Red,M,MidCard,Hoss,Giant,,,,,,,,,
Otis,Face,Blue,M,Jobber,,,,,,,,,,,
Queen Zelina,Heel,Red,F,MidCard,,,,,,,,,,,
Randy Orton,Heel,Red,M,MainEvent,,,,,,,,,,,
Raquel Rodriguez,Heel,Blue,F,MidCard,,,,,,,,,,,
Razor Ramon,,Retired,M,,,,,,,,,,,,
Reggie,,Inactive,M,,,,,,,,,,,,
Rey Mysterio,,Retired,M,,,,,,,,,,,,
Rhea Ripley,Heel,Red,F,MainEvent,,,,,Judgment Day,,,,,,
Rick Boogs,Face,Blue,M,Jobber,,,,,,,,,,,
Ricochet,Face,Red,M,MidCard,,,,,,,,,,,
Ridge Holland,Heel,Red,M,MidCard,,,,,The Brawling Brutes,,,,,,
Rikishi,,Retired,M,,,,,,,,,,,,
Rob Van Dam,Heel,,M,MainEvent,,,,,,,,,,,
Robert Roode,,Inactive,M,,,,,,,,,,,,
Roman Reigns,Heel,Red,M,Legend,,,,,The Bloodline,,,,,,
Ronda Rousey,,Inactive,F,,,,,,,,,,,,
Rowdy Roddy Piper,,Retired,M,,,,,,,,,,,,
Roxanne Perez,Face,Blue,F,Jobber,,,,,,,,,,,
R-Truth,,Inactive,M,,,,,,,,,,,,
Sami Zayn,Face,Red,M,MidCard,,,,,,,,,,,
Santos Escobar,,Inactive,M,,,,,,,,,,,,
Scott Hall,,Retired,M,,,,,,,,,,,,
"Seth ""Freakin"" Rollins",Heel,Red,M,MainEvent,,,,,,,,,,,
Shane McMahon,,Inactive,M,,,,,,,,,,,,
Shanky,,,M,Jobber,,,,,,,,,,,
Shawn Michaels,,Retired,M,,,,,,,,,,,,
Shayna Baszler,Heel,Red,F,UpperMidCard,,,,,,,,,,,
Sheamus,Heel,Red,M,UpperMidCard,,,,,The Brawling Brutes,,,,,,
Shelton Benjamin,,Inactive,M,,,,,,,,,,,,
Shinsuke Nakamura,,Inactive,M,,,,,,,,,,,,
Shotzi,Face,Blue,F,Jobber,,,,,,,,,,,
Solo Sikoa,Heel,Red,M,MidCard,,,,,The Bloodline,,,,,,
Sonya Deville,Heel,Red,F,MidCard,,,,,,,,,,,
Stacy Keibler,,Inactive,F,,,,,,,,,,,,
“Stone Cold” Steve Austin,,Retired,M,,,,,,,,,,,,
Stephanie McMahon,,Inactive,F,,,,,,,,,,,,
Syxx,,Retired,M,,,,,,,,,,,,
Tamina,,Inactive,M,,,,,,,,,,,,
T-BAR,,Inactive,M,,,,,,,,,,,,
Ted DiBiase,,Inactive,M,,,,,,,,,,,,
The Miz,,Inactive,M,,,,,,,,,,,,
The Rock,,Inactive,M,,,,,,,,,,,,
Titus O’Neil,,Inactive,M,,,,,,,,,,,,
Tommaso Ciampa,Heel,Red,M,MidCard,,,,,,,,,,,
Triple H,,Inactive,M,,,,,,,,,,,,
Trish Stratus,,Inactive,F,,,,,,,,,,,,
Tyler Bate,,Inactive,M,,,,,,,,,,,,
Tyler Breeze,Face,Red,M,MidCard,,,,,Maximum Male Models,,,,,,
Ultimate Warrior,,Retired,M,,,,,,,,,,,,
Umaga,,Retired,M,,,,,,,,,,,,
Undertaker,,Retired,M,,,,,,,,,,,,
Vader,,Retired,M,,,,,,,,,,,,
Veer Mahaan,,Inactive,M,,,,,,,,,,,,
Wes Lee,,Inactive,M,,,,,,,,,,,,
Xavier Woods,Face,Red,M,MidCard,,,,The New Day,The New Day,,,,,,
Xia Li,Heel,Blue,M,MidCard,,,,,,,,,,,
X-Pac,,Retired,M,,,,,,,,,,,,
Yokozuna,,Retired,M,,,,,,,,,,,,
Zoey Stark,Face,Blue,F,Jobber,,,,,,,,,,,
Rob Rocker,Heel,Red,M,UpperMidCard,,,,,,,,,,,
Spade,Heel,Red,M,Legend,,,,,,,,,,,
Game Over,Heel,Red,M,UpperMidCard,,,,,Immortal,,,,,,
Crawler,Heel,Red,M,UpperMidCard,,,,,Immortal,,,,,,
Lord,Heel,Red,M,Legend,,,,,Immortal,,,,,,
PM3,Heel,Blue,M,MidCard,,,,,,,,,,,
The Falcon,Face,Red,M,MidCard,,,,,,,,,,,
Renegade,Face,Red,M,MainEvent,,,,,,,,,,,
Penelope Ford,Heel,Red,F,UpperMidCard,,,,,,,,,,,
Kip Sabian,Heel,Red,M,MidCard,,,,,,,,,,,
Kenny Omega,Face,Red,M,Legend,,,,,The Elite,,,,,,
Hangman Adam Page,Face,Red,M,MainEvent,,,,,,,,,,,
Matt Jackson,Face,Red,M,MainEvent,,,,The Young Bucks,The Elite,,,,,,
Nick Jackson,Face,Red,M,MainEvent,,,,The Young Bucks,The Elite,,,,,,
Powerhouse Hobbs,Heel,Red,M,MidCard,,,,,,,,,,,
Hook,Face,Red,M,MidCard,Technician,,,,,,,,,,
Danhausen,Face,Red,M,Fan Favorite,Underdog,,,,Best Friends,,,,,,
Mantis,Face,Red,M,MidCard,Underdog,,,,Best Friends,,,,,,
The Bunny,Heel,Red,F,MidCard,,,,,,,,,,,
Chuck Taylor*,Face,Red,M,UpperMidCard,Favorite,,,Best Friends,Best Friends,,,,,,
Trent Berretta*,Face,Red,M,UpperMidCard,Favorite,,,Best Friends,Best Friends,,,,,,
MJF,Heel,Red,M,MainEvent,Arrogant,,,,,,,,,,
Jon Moxley,Face,Red,M,MainEvent,Vicious,,,,Blackpool Combat Club,,,,,,
Chris Jericho,Heel,Red,M,Legend,,,,,Jericho Appreciation Society,,,,,,
Daniel Garcia*,Heel,Red,M,MidCard,,,,,Jericho Appreciation Society,,,,,,
Sammy Guevara,Heel,Red,M,MidCard,,,,,Jericho Appreciation Society,,,,,,
Jungle Boy,Face,Red,M,MidCard,Favorite,,,,,,,,,,
Wardlow,Face,Red,M,MidCard,Hoss,,,,,,,,,,
Anna Jay,Heel,Red,F,MidCard,Bad Attitude,,,,Jericho Appreciation Society,,,,,,
Keith Lee,Face,Red,M,MidCard,,,,Swerve In Our Glory,,,,,,,
Swerve Strickland,Heel,Red,M,MidCard,Manipulative,,,Swerve In Our Glory,,,,,,,
Kris Statlander,Heel,Red,F,MainEvent,Gimmick,,,,Best Friends,,,,,,
Orange Cassidy,Face,Red,M,MidCard,,,,,Best Friends,American All Star,,,,,
Britt Baker,Heel,Red,F,MainEvent,Arrogant,,,,The Originals,,,,,,
Jamie Hayter,Heel,Red,F,MainEvent,,,,,The Originals,,,,,,
Willow Nightingale,Face,Red,F,MidCard,Favorite,,,,,,,,,,
Ruby Soho,Heel,Red,F,MainEvent,,,,,The Outcasts,,,,,,
Saraya,Heel,Red,F,MainEvent,,,,,The Outcasts,,,,,,
Toni Storm,Heel,Red,F,MainEvent,,,,,The Outcasts,,,,,,
Claudio Castagnoli,Face,Red,M,MidCard,Hoss,,,,Blackpool Combat Club,,,,,,
Bryan Danielson,Face,Red,M,MainEvent,Technician,,,,Blackpool Combat Club,,,,,,
Austin Gunn,Heel,Red,M,UpperMidCard,Arrogant,,,The Gunn Club,,,,,,,
Colten Gunn,Heel,Red,M,UpperMidCard,Arrogant,,,The Gunn Club,,,,,,,
Dax Harwood,Face,Red,M,MainEvent,,,,FTR,,,,,,,
Cash Wheeler,Face,Red,M,MainEvent,,,,FTR,,,,,,,
Eddie Kingston,Face,Red,M,MidCard,,,,,,,,,,,
PAC,Face,Red,M,MainEvent,Technician,,,,Death Triangle,TNT Championship,,,,,
Rey Fenix,Heel,Red,M,MainEvent,Lucha,,,Lucha Brothers,Death Triangle,,,,,,
Penta El Zero Miedo,Heel,Red,M,MainEvent,Lucha,,,Lucha Brothers,Death Triangle,,,,,,
Evil Uno,Face,Red,M,MidCard,,,,Dark Order,Dark Order,,,,,,
Stu Grayson,Face,Red,M,MidCard,,,,Dark Order,Dark Order,,,,,,
John Silver*,Face,Red,M,MidCard,,,,Silver & Reynolds,Dark Order,,,,,,
Alex Reynolds*,Face,Red,M,MidCard,,,,Silver & Reynolds,Dark Order,,,,,,
Joey Janela*,Face,Red,M,MidCard,,,,,,,,,,,
Nyla Rose*,Face,Red,F,MidCard,Hoss,,,,,,,,,,
Hikaru Shida,Face,Red,F,MainEvent,,,,,The Originals,,,,,,
